Afvalstroomnummer,Verwerkersnummer Locatie van Bestemming (LvB),LvB KvK nummer,LvB Bedrijfsnaam,LvB Adres,LvB Postcode/Plaats,Handelsregisternummer Ontdoener,Naam Ontdoener,Land Ontdoener,LocatieHerkomst Straatnaam,LocatieHerkomst Huisnummer,LocatieHerkomst HuisnummerToevoeging,LocatieHerkomst Postcode,LocatieHerkomst Plaats,LocatieHerkomst Nabijheidsbeschrijving,LocatieHerkomst Land,Euralcode,Euralcode Omschrijving,Gebruikelijke Naam Afvalstof,VerwerkingsMethode Code,VerwerkingsMethode Omschrijving,Routeinzameling,Inzamelaarsregeling,Particuliere Ontdoener
087970000180,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,34267179,Techno Telematica B.V.,Nederland,Hoofdweg,850,,2132MC,HOOFDDORP,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000182,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24006562,Swartberg Levensmiddelen Fabrieken B.V.,Nederland,Sluisjesdijk,102,,3087AJ,ROTTERDAM,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000189,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,58928049,Sevink Sloopwerken,Nederland,Wit-geellaan,15,,2718AB,ZOETERMEER,,Nederland,170405,ijzer en staal,Ijzer,A02,Overslag / opbulken,N,N,N
087970000191,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,32101439,Propje Papier Recycling Midden Nederland,Nederland,Nieuwe Havenweg,2,,1216BR,HILVERSUM,,Nederland,170401,"koper, brons en messing",Kabel,A02,Overslag / opbulken,N,N,N
087970000198,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,61858021,Jarini Dienstverlening B.V.,Nederland,Naaldwijkseweg,249,B,2691PV,'S-GRAVENZANDE,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000200,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24072680,Stena Line B.V.,Nederland,Slachthuisweg,13,,3151XN,HOEK VAN HOLLAND,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000201,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,24072680,Stena Line B.V.,Nederland,Slachthuisweg,13,,3151XN,HOEK VAN HOLLAND,,Nederland,170401,"koper, brons en messing","koper, brons en messing",A02,Overslag / opbulken,N,N,N
087970000202,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27371717,Gemeente Westland,Nederland,Verdilaan,7,,2671VW,NAALDWIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000202,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27371717,Gemeente Westland,Nederland,Verdilaan,7,,2671VW,NAALDWIJK,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000216,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27144638,Koppert Machines en Zonen B.V.,Nederland,Vlotlaan,616,,2681TX,MONSTER,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000216,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,27144638,Koppert Machines en Zonen B.V.,Nederland,Vlotlaan,616,,2681TX,MONSTER,,Nederland,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,N
087970000221,08797,78083079,'t Westland Handel en Diensten B.V.,fultonstraat 4,2691HA 'S-GRAVENZANDE,,Particulier,,,,,,,,,170405,ijzer en staal,ijzer en staal,A02,Overslag / opbulken,N,N,J
